Lesson,Front,Back,Example,Translation
e09-l4,gratulieren,to congratulate someone,Ich möchte dir zum Geburtstag gratulieren!,I would like to congratulate you on your birthday!
e09-l4,die Geburt,birth,Die Geburt meiner Tochter war ein wunderschönes Ereignis.,The birth of my daughter was a wonderful event.
e09-l4,positiv,positive,Das ist eine positive Nachricht.,That is a positive piece of news.
e09-l4,Herzlichen Glückwunsch zum Geburtstag!,Happy birthday!,Herzlichen Glückwunsch zum Geburtstag!,Happy birthday!
e09-l4,das Jubiläum,anniversary of a date (not a wedding date),"Das heißt, wir haben bald zehnjähriges Jubiläum!","That means, we will soon have our tenth anniversary!"
e09-l4,der Hochzeitstag,wedding day; wedding anniversary,Ihr vergesst bestimmt den Hochzeitstag.,You will certainly forget the wedding day.
e09-l4,vergesslich,forgetful,Ich bin so vergesslich!,I am so forgetful!
e09-l4,gehören,to belong to something /someone,Damit gehört Lisa offiziell zum Restaurant.,"With that, Lisa officially belongs to the restaurant."
e09-l4,die gute Laune,good mood,Wir sind alle in guter Laune.,We are all in a good mood.
e09-l4,Prost!,Cheers!/A toast!,Prost!,Cheers!
e09-l4,sich verstehen,to get along with someone; to be on the same page; to get each other,Wir verstehen uns sehr gut.,We get along very well.
e09-l4,feiern,to celebrate,Wir feiern das Jubiläum!,We celebrate the anniversary!
e09-l4,Auf ...!,To .../Here's to...,Auf Lisa!,Here's to Lisa!
e09-l4,anstoßen,to make a toast to something/someone,Wir stoßen auf Lisa an!,We make a toast to Lisa!
e09-l4,sich verlassen,to rely on something/someone,Man kann sich auf ihn verlassen.,You can rely on him.
e09-l4,schätzen,to value (something/someone),Ich schätze deine Freundschaft sehr.,I value your friendship very much.
e10-l1,etwas erreichen,"to reach something, to get somewhere, to make progress",Ich möchte meine Ziele erreichen.,I want to achieve my goals.
e10-l1,Großstadtleben,life in a big city,Das Großstadtleben ist aufregend.,Life in a big city is exciting.
e10-l1,Großstadt,"metropolis, major city",Ich wohne in einer Großstadt.,I live in a metropolis.
e10-l1,Nachteil,disadvantage,Das ist ein Nachteil der Stadt.,That's a disadvantage of the city.
e10-l1,ein schlechtes Gewissen haben,to feel bad about something; to have a guilty conscience,Weil du ein schlechtes Gewissen hast?,Because you have a bad conscience?
e10-l1,echt,real,Das ist ein echtes Problem.,That's a real problem.
e10-l1,klar,clear,Das ist ein klarer Vorteil.,That's a clear advantage.
e10-l1,unpersönlich,impersonal,Die Stadt ist sehr unpersönlich.,The city is very impersonal.
e10-l1,Kulturprogramm,cultural program,Das Kulturprogramm ist vielfältig.,The cultural program is diverse.
e10-l1,Lärm,noise,Es ist hier so laut wie auf einem Flughafen!,It's as loud as an airport here!
e10-l1,Argument,argument,Das ist ein gutes Argument.,That's a good argument.
e10-l1,Bar,"bar,pub",Auf dem Land gibt’s keine Bars.,In the countryside there are no bars.
e10-l1,Luft,air,Die Luft ist besser auf dem Land.,The air is better in the countryside.
e10-l1,(jemanden) nerven,to annoy somebody,Diese laute Musik nervt mich.,This loud music annoys me.
e10-l1,Freizeitangebot,leisure opportunity / leisure opportunities,Das Freizeitangebot in der Stadt ist groß.,The leisure opportunities in the city are great.
e10-l1,Baustelle,building site,"Keine Baustellen, kein Stau","No construction sites, no traffic jam"
e10-l1,Verkehrsmittel,means of transportation,Das Auto ist ein wichtiges Verkehrsmittel.,The car is an important means of transportation.
e10-l1,Vorteil,advantage,Das ist ein klarer Vorteil der Stadt.,That's a clear advantage of the city.
e10-l1,kulturell,cultural,Das Kulturprogramm ist sehr kulturell.,The cultural program is very cultural.
e10-l1,Verkehr,traffic,Es gibt viel Verkehr in der Stadt.,There is a lot of traffic in the city.
e10-l1,etwas mieten,to rent something,Mieten sind hier sehr teuer.,The rents are very expensive here.
e10-l1,Hier ist immer was los!,There's always something happening here!,Hier ist immer was los!,There's always something happening here!
e10-l1,Dorf,village,Ich wohne in einem kleinen Dorf.,I live in a small village.
e10-l1,Dreck,mess,Es gibt viel Dreck in der Stadt.,There's a lot of mess in the city.
e10-l1,wahnsinnig,incredibly; insanely,Diese Stadt macht mich wahnsinnig!,This city is driving me crazy!
e10-l1,Benzin,"petrol, gasoline",Das Benzin ist sehr teuer geworden.,The gasoline has become very expensive.
e10-l2,stinken,to stink; to smell bad,Also stinkt’s.,So it stinks.
e10-l2,Altbau,old building,Viele Altbauten sind in der Stadt.,Many old buildings are in the city.
e10-l2,Lage,situation; position,Die Lage der Wohnung ist sehr ruhig.,The location of the apartment is very quiet.
e10-l2,Uniklinik,university hospital,Die Uniklinik ist sehr modern.,The university hospital is very modern.
e10-l2,Abkürzung,abbreviation,Abkürzung: AB,Abbreviation: AB
e10-l2,Kaution,security deposit (for rent),Muss man denn Kaution bezahlen?,Do you have to pay a security deposit?
e10-l2,warm,with utilities included  (with regard to rent),Die Wohnung ist warm.,The apartment is warm.
e10-l2,Kaltmiete,basic rent; without utilities,Die Kaltmiete beträgt 1200 Euro.,The basic rent is 1200 Euros.
e10-l2,Dachgeschoss,attic; top floor,Die Wohnung ist im Dachgeschoss.,The apartment is in the attic.
e10-l2,möbliert,furnished,Die Wohnung ist teilweise möbliert.,The apartment is partially furnished.
e10-l2,kalt,no utilities included (with regard to rent),Die Miete ist kalt.,The rent is without utilities.
e10-l2,Garage,garage,Wir haben eine Garage für unser Auto.,We have a garage for our car.
e10-l2,versuchen,to try something,Ich werde es versuchen.,I will try it.
e10-l2,mitteilen,to communicate something (to someone),Ich wollte dir etwas mitteilen.,I wanted to tell you something.
e10-l2,Appartement,apartment,Das Appartement ist klein aber fein.,The apartment is small but nice.
e10-l2,zentral,central,Die Wohnung liegt sehr zentral.,The apartment is very centrally located.
e10-l2,Stellplatz,parking space,Gibt es einen Stellplatz für mein Auto?,Is there a parking space for my car?
e10-l2,Quadratmeter,square meter,Die Wohnung ist 60 Quadratmeter groß.,The apartment is 60 square meters.
e10-l2,Balkon,balcony; porch,Die Wohnung hat einen schönen Balkon.,The apartment has a nice balcony.
e10-l2,Zimmer,room,Das Zimmer ist hell und freundlich.,The room is bright and friendly.
e10-l2,Nebenkosten,utilities; amenities; additional costs,Inklusive Nebenkosten sind das bestimmt 1500 Euro.,"Including utilities, that's definitely 1500 Euros."
e10-l2,Keller,cellar; basement,Der Keller ist feucht.,The basement is damp.
e10-l2,Warmmiete,rent with utilities included,550 Euro Warmmiete.,550 Euro rent with utilities included.
e10-l2,Besichtigung,visit; tour,Willst du eine Besichtigung vereinbaren?,Do you want to arrange a visit?
e10-l2,Vorort,suburb; outskirts,Wir wohnen in einem kleinen Vorort.,We live in a small suburb.
e10-l2,Erdgeschoss,ground floor; ground level,Das Geschäft ist im Erdgeschoss.,The shop is on the ground floor.
e10-l2,teilweise,partially; in part,Die Wohnung ist teilweise möbliert.,The apartment is partially furnished.
e10-l2,Neubau,new building,Wir wohnen in einem Neubau.,We live in a new building.
e10-l2,Bauernhof,farm,In der Nähe gibt es viele Bauernhöfe.,There are many farms nearby.
e10-l2,Monatsmiete,monthly rent,Die Monatsmiete ist hoch.,The monthly rent is high.
e10-l2,Kontakt,contact,Ich habe den Kontakt zu ihr verloren.,I have lost contact with her.
e10-l2,süß,cute; sweet,Die Wohnung ist doch süß.,The apartment is so cute.
e10-l2,plus,with; plus; and,Die Kaltmiete plus Nebenkosten sind 1500 Euro.,The basic rent plus utilities is 1500 Euro.
e10-l2,im Voraus,in advance,Bitte bezahlen Sie im Voraus.,Please pay in advance.
e10-l2,Wohnung,apartment,Suchst du jetzt wirklich ’ne neue Wohnung?,Are you really looking for a new apartment now?
e10-l3,beschriften,to label something,Wir müssen die Kisten beschriften.," ""We have to label the boxes."""
e10-l3,legen,to lay something,Dann legen wir die Matratzen neben das Regal.," ""Then we lay the mattresses next to the shelf."""
e10-l3,Inhalt,content / contents,Was ist der Inhalt dieser Kiste?," ""What is the content of this box?"""
e10-l3,kommen,to go; to belong,Das Buch kommt in diese Kiste.," ""The book goes in this box."""
e10-l3,Helfer,assistant; helper (male),Er ist ein netter Helfer.," ""He is a nice helper."""
e10-l3,besorgen,to get; to procure something,Ich muss noch neue Kisten besorgen.," ""I still need to get new boxes."""
e10-l3,da hinten,over there; back there,Die Kisten stehen da hinten.," ""The boxes are over there."""
e10-l3,packen,to pack something,Wir müssen noch die letzten Sachen packen.," ""We still have to pack the last things."""
e10-l3,Helferin,assistant; helper (female),Sie ist eine fleißige Helferin.," ""She is a hard-working helper."""
e10-l3,Karton,carton; box,Wir brauchen mehr Umzugskartons.," ""We need more moving boxes."""
e10-l3,da vorne,in front; up ahead,Die Bushaltestelle ist da vorne.," ""The bus stop is up ahead."""
e10-l3,kaputtgehen,to break,Kann da was kaputtgehen?," ""Can something break?"""
e10-l3,Haken,hook,Wir hängen den Mantel an den Haken.," ""We'll hang the coat on the hook."""
e10-l3,Lastwagen,"truck, lorry",Der Lastwagen ist sehr groß.," ""The truck is very big."""
e10-l3,Umzugskarton,moving box,Wir haben viele Umzugskartons gepackt.," ""We have packed many moving boxes."""
e10-l3,jemanden bei etwas erwischen,to catch someone at something,Da hat sie mich beim Lügen erwischt.," ""That's when she caught me lying."""
e10-l3,jede Menge,all sorts of,Ich habe jede Menge Arbeit zu erledigen.," ""I have all sorts of work to do."""
e10-l3,Werkzeugkasten,toolbox,Er hat den Werkzeugkasten in den Keller getragen.," ""He carried the toolbox to the basement."""
e10-l3,hängen,to hang something,Wir hängen das Bild an die Wand.," ""We'll hang the picture on the wall."""
e10-l3,LKW,truck; lorry,Der LKW parkt vor dem Haus.," ""The truck is parked in front of the house."""
e10-l3,wegwerfen,to throw something away,Du solltest das nicht wegwerfen.," ""You shouldn't throw that away."""
e10-l3,hinten,behind; at the back,Das Regal können wir hinten auf die Ladefläche stellen.," ""We can put the shelf at the back on the loading area."""
e10-l3,stellen,to put; to place,Wohin stellen wir das Regal?," ""Where do we put the shelf?"""
e10-l3,sortieren,to sort something,Wir müssen die Kleidung sortieren.," ""We have to sort the clothes."""
e10-l3,Ärger,frustration; aggravation,Ich habe jede Menge Ärger mit meinen Eltern.," ""I have all sorts of trouble with my parents."""
e10-l3,Ecke,corner; edge,Die Lampe steht in der Ecke.," ""The lamp is in the corner."""
e10-l3,vorne,"ahead, in front",Der LKW steht ganz vorne.," ""The truck is standing way in the front."""
e10-l3,Seite,side,Dann legen wir die kleinen Sachen an die Seite.," ""Then we lay the small things to the side."""
e10-l3,sollen,to be expected to; should,Wohin sollen denn die Kisten?," ""Where are the boxes supposed to go?"""
e10-l4,sich verbrennen,to burn oneself,"Ich habe gesehen, dass sich jemand an der Heizung verbrannt hat.",I even saw someone burn themselves on the heater.
e10-l4,die Tablette,tablet; pill,Ich nehme eine Tablette gegen Kopfschmerzen.,I'm taking a tablet for my headache.
e10-l4,etwas kleben,to glue or stick,Ich muss das Bild an die Wand kleben.,I need to stick the picture on the wall.
e10-l4,sich stoßen,to bump (something); to run into,"Pass auf, dass du dich nicht stößt!",Be careful not to bump yourself!
e10-l4,ausrutschen,to slip; to slip over,Du kannst auf der Treppe ausrutschen.,You can slip on the stairs.
e10-l4,die Nasentropfen,nasal drops,Bei einer Erkältung helfen Nasentropfen.,Nasal drops help with a cold.
e10-l4,stolpern,to stumble,Er ist über einen Stein gestolpert.,He stumbled over a stone.
e10-l4,etwas reinigen,to clean; disinfect,Du musst die Wunde reinigen.,You have to clean the wound.
e10-l4,das Pflaster,bandage; sticking plaster,Ich brauche ein Pflaster für meinen Finger.,I need a plaster for my finger.
e10-l4,stürzen,to fall,Du kannst auf der Treppe stürzen.,You can fall on the stairs.
e10-l4,etwas verschütten,to spill something,"Pass auf, dass du nichts verschüttest!",Be careful not to spill anything!
e10-l4,gefährlich,dangerous,"Ein Umzug ist gefährlich, weil man sich ganz schnell verletzen kann.",A move is dangerous because you can quickly get injured.
e10-l4,der Notarzt,emergency doctor (male),Wir müssen einen Notarzt rufen!,We have to call an emergency doctor!
e10-l4,versichert,insured,Weil du nicht versichert bist.,Because you are not insured.
e10-l4,fallen,to fall,Ein Schrank kann dir auf den Fuß fallen.,A closet can fall on your foot.
e10-l4,der Verband,bandage,Ich brauche einen neuen Verband für mein Bein.,I need a new bandage for my leg.
e10-l4,auf dem Weg,on the way,Ich bin auf dem Weg nach Hause.," ""I'm on the way home."""
e10-l4,sich schneiden,to cut oneself,Du kannst dich an Glas schneiden.,You can cut yourself on glass.
e10-l4,das Glas,glass,Du kannst dich an Glas schneiden.,You can cut yourself on glass.
e10-l4,das Desinfektionsmittel,disinfectant,Ich brauche Desinfektionsmittel für die Wunde.," ""I need disinfectant for the wound."""
e10-l4,die Leiter,ladder,"Bitte, sei vorsichtig auf der Leiter.","Please, be careful on the ladder."
e10-l4,sich an etwas festhalten,to grab on to something; to hold onto something,"Halt dich gut fest, es ist glatt!","Hold on tight, it's slippery!"
e10-l4,auf etwas steigen,to climb on something,Steig nicht auf den Tisch!,Don't climb on the table!
e10-l4,die Salbe,ointment; salve,Die Salbe hilft gegen den Schmerz.,The ointment helps against the pain.
e10-l4,schiefgehen,to go wrong; to go away,Das kann doch nicht schon wieder schiefgehen!,This can't go wrong again!
e10-l4,sich anstrengen,to exert oneself; to make an effort,"Papa, streng dich bitte nicht an!","Dad, please don't exert yourself!"
e10-l4,sich einleben,to settle in; to settle down,Du lebst dich aber gut ein,"Selma.,You are settling in well, Selma."
e10-l4,die Fensterbank,windowsill,Die Katze sitzt auf der Fensterbank.,The cat is sitting on the windowsill.
e10-l4,die Notärztin,emergency doctor (female),Die Notärztin ist auf dem Weg.,The emergency doctor is on the way.
e10-l4,sich etwas brechen,to break something,"Du kannst dir etwas brechen, wenn du fällst.",You can break something if you fall.
e10-l4,die Stelle,position,Ich habe eine neue Stelle gefunden.,I have found a new position.
e10-l4,der Gegenstand,object,"Vorsicht, ein Gegenstand kann herunterfallen!","Careful, an object could fall down!"
e11-l1,damals,back then,Damals waren wir noch jung und hatten keine Handys.,"Back then, we were still young and didn't have cell phones."
e11-l1,Kerze,candle,Wir zünden eine Kerze an.,We are lighting a candle.
e11-l1,sammeln,to collect (something),Wir sammeln Briefmarken.,We collect stamps.
e11-l1,anzünden,to light something; to ignite something,Wir haben ein Feuer angezündet.,We lit a fire.
e11-l1,umständlich,inconvenient,Das ist sehr umständlich.,That is very inconvenient.
e11-l1,Strom,electricity,Ohne Strom funktioniert der Kühlschrank nicht.,The refrigerator won't work without electricity.
e11-l1,aufbleiben,to stay up; to stay awake,Ich bleibe heute lange auf.,I'm staying up late today.
e11-l1,jahrelang,for years; many years,Man konnte sich manchmal jahrelang nicht sehen.,Sometimes people couldn't see each other for years.
e11-l1,reichen,to reach; to suffice,Reichen 200 Jahre?,Do 200 years suffice?
e11-l1,Holz,wood,Wir brauchen Holz für das Feuer.,We need wood for the fire.
e11-l1,hygienisch,hygienic,Die Küche muss sehr hygienisch sein.,The kitchen has to be very hygienic.
e11-l1,spätestens,at the latest; no later than,Du musst spätestens morgen hier sein.,You have to be here by tomorrow at the latest.
e11-l1,Feuer,fire,Das Feuer im Kamin wärmt uns.,The fire in the fireplace warms us.
e11-l1,sondern,rather (here: used to show a contrasting or different opinion),"Wir haben nicht telefoniert, sondern Briefe geschrieben.","We didn't call, but rather wrote letters."
e11-l1,im Vergleich zu,compared to,Im Vergleich zu früher ist das Leben heute anders.,"Compared to the past, life is different today."
e11-l1,Apparat,device (here: telephone),Aber mein Vater durfte von dem Apparat nicht zu Hause in Frankreich anrufen.,But my father wasn't allowed to call home to France from the device.
e11-l1,Elektroherd,electric stove,Der Elektroherd ist sehr praktisch.,The electric stove is very practical.
e11-l1,elektrisch,electric,Wir haben einen elektrischen Herd.,We have an electric stove.
e11-l1,heutzutage,nowadays,Heutzutage ist alles so schnell.,"Nowadays, everything is so fast."
e11-l1,wegräumen,to clear something; to put something away,Bitte räum deine Sachen weg.,Please put your things away.
e11-l2,als,when; as,"Die gab’s schon, als ich das letzte Mal hier war.",It already existed when I was here last time.
e11-l2,komplett,complete/completely,es sieht alles komplett anders aus.,it all looks completely different.
e11-l2,der Kiosk,kiosk; newsstand,Ich kaufe mir einen Kaffee am Kiosk.,I'll buy a coffee at the kiosk.
e11-l2,sich umschauen,to look around,Ich schau mich die nächsten Wochen mal um.,I'll look around the next few weeks.
e11-l2,das Zentrum,downtown; city center,Das Zentrum war damals viel kleiner als heute.,The city center was much smaller back then than it is today.
e11-l2,das Gebäude,building,Viele Gebäude waren auch noch nicht renoviert.,Many buildings were also not yet renovated.
e11-l2,renovieren,to renovate something,Viele Gebäude waren auch noch nicht renoviert.,Many buildings were also not yet renovated.
e11-l2,unglaublich,unbelievable,"Unglaublich, wie die Stadt sich verändert hat.",Unbelievable how the city has changed.
e11-l2,die Einkaufsstraße,shopping strip,"Die Einkaufsstraße zum Beispiel: Die gab’s schon, als ich das letzte Mal hier war.","The shopping strip, for example: It already existed when I was here last time."
e11-l2,das Rathaus,city hall,Gab es da das neue Rathaus schon?,Was the new city hall already there then?
e11-l2,die Kutsche,carriage,An den hässlichen Orten fahren die Kutschen auch nicht vorbei.,The carriages don't pass by the ugly places either.
e11-l3,selbstständig,independent/ independently,Ich möchte selbstständig sein.,I want to be independent.
e11-l3,der Unsinn,nonsense,Das ist doch Unsinn!,That's nonsense!
e11-l3,zunächst,initially; first of all,Zunächst müssen wir das Problem lösen.,"First of all, we have to solve the problem."
e11-l3,die Pflicht,obligation,Jeder hat seine Pflichten in der Gesellschaft.,Everyone has their obligations in society.
e11-l3,etwas/jemanden respektieren,to respect something/ someone,Ich respektiere deine Meinung.,I respect your opinion.
e11-l3,abhängig,dependent/dependently,Viele Menschen sind von ihren Eltern abhängig.,Many people are dependent on their parents.
e11-l3,die Gleichberechtigung,equality,Die Gleichberechtigung von Mann und Frau ist wichtig.,The equality of men and women is important.
e11-l3,die Rolle,role,In der Familie haben alle eine bestimmte Rolle.,"In the family, everyone has a specific role."
e11-l3,sich sehen,to see someone; to date,"Sie wollen nicht, dass ich mich alleine mit Männern treffe.",They don’t want me to meet men alone.
e11-l3,das Grundgesetz,constitution; basic law,Das Grundgesetz garantiert die Gleichberechtigung.,The constitution guarantees equality.
e11-l3,traditionell,traditional/traditionally,In einigen traditionellen Familien hat der Mann andere Pflichten als die Frau.,"In some traditional families, the man has different duties than the woman."
e11-l3,von jemandem etwas erwarten,to expect something from/of someone,"Meine Familie erwartet von mir, dass ich unsere Tradition respektiere.",My family expects me to respect our tradition.
e11-l3,das Recht,right,Jeder Mensch hat das Recht auf freie Meinungsäußerung.,Every person has the right to freedom of speech.
e11-l3,Kinder versorgen,to care for children,Viele Frauen versorgen die Kinder.,Many women care for the children.
e11-l3,gleichberechtigt,equal,Männer und Frauen sind in Deutschland gleichberechtigt.,Men and women are equal in Germany.
e11-l3,mit jemandem/etwas zurechtkommen,to get by with something/someone; to make do with someone/something,Ich komme mit meinen Eltern auch nicht zurecht.,I don't get along with my parents either.
e11-l4,das Ballett,ballet,Sie tanzt Ballett seit ihrer Kindheit.,She has been dancing ballet since her childhood.
e11-l4,die Direktorin,director (female),Die Direktorin hat eine wichtige Entscheidung getroffen.,The director made an important decision.
e11-l4,jemanden/etwas entdecken,to discover someone/something,Sie hat ein neues Talent entdeckt.,She discovered a new talent.
e11-l4,eine Ausbildung machen,to do an apprenticeship or training,Er möchte eine Ausbildung als Mechaniker machen.,He wants to do an apprenticeship as a mechanic.
e11-l4,etwas starten,to begin something; to start something,Wir starten das Projekt nächste Woche.,We will start the project next week.
e11-l4,das Klavier,piano,Sie spielt sehr gut Klavier.,She plays the piano very well.
e11-l4,verboten,forbidden,Das Rauchen ist hier verboten.,Smoking is forbidden here.
e11-l4,jemanden motivieren,to motivate someone,Der Trainer motiviert die Mannschaft.,The trainer motivates the team.
e11-l4,berühmt,famous,Dieser Schauspieler ist sehr berühmt.,This actor is very famous.
e11-l4,die Karriere,career,Er hat eine erfolgreiche Karriere gemacht.,He had a successful career.
e11-l4,der Choreograph,choreographer (male),Der Choreograph arbeitet mit vielen Tänzern.,The choreographer works with many dancers.
e11-l4,Artikel,article,Ich lese einen Artikel über das Thema.,I am reading an article about the topic.
e11-l4,die Erzählung,story; narrative,Die Erzählung war sehr spannend.,The story was very exciting.
e11-l4,die Choreographin,choreographer (female),Die Choreographin hat eine neue Tanznummer einstudiert.,The choreographer has rehearsed a new dance number.
e11-l4,Zeit für sich haben,to have time to oneself,Ich brauche Zeit für mich selbst.,I need time for myself.
e11-l4,der Tanz,dance,Sie liebt den Tanz.,She loves dance.
e11-l4,das Stipendium,scholarship; grant,Sie hat ein Stipendium für ihr Studium bekommen.,She received a scholarship for her studies.
e11-l4,(etwas) malen,to paint something,Er malt ein Bild von der Landschaft.,He is painting a picture of the landscape.
e11-l4,die Begeisterung,enthusiasm,Ihre Begeisterung für das Projekt ist groß.,Her enthusiasm for the project is great.
e11-l4,der Tod,death,Der Tod ist ein trauriges Ereignis.,Death is a sad event.
e11-l4,der Tänzer,the dancer (male),Der Tänzer zeigte eine beeindruckende Vorstellung.,The dancer showed an impressive performance.
e11-l4,der Direktor,director (male),Der Direktor leitet die Schule.,The director leads the school.
e11-l4,Karriere machen,to build a career,Sie möchte in der Musik Karriere machen.,She wants to build a career in music.
e11-l4,die Tänzerin,the dancer (female),Die Tänzerin hat eine elegante Pirouette gemacht.,The dancer did an elegant pirouette.
e12-l1,die Geschäftsführerin,manager; managing director (female),Die Geschäftsführerin hat eine neue Strategie vorgestellt.,The managing director introduced a new strategy.
e12-l1,im Gegensatz zu,unlike; in contrast to,"Im Gegensatz zu dir, habe ich viel gearbeitet.","Unlike you, I have worked a lot."
e12-l1,der Maschinenbau,mechanical engineering,Er hat Maschinenbau studiert.,He studied mechanical engineering.
e12-l1,das Handwerk,trade; craft,Nico will anpacken – beruflich und privat. Er wollte immer ’n Handwerk lernen.,Nico wants to get involved - professionally and privately. He always wanted to learn a trade.
e12-l1,die Berufswahl,career choice,Die Berufswahl ist eine wichtige Entscheidung.,Career choice is an important decision.
e12-l1,die Akademikerin,academic (female),Sie ist eine Akademikerin und arbeitet als Forscherin.,She is an academic and works as a researcher.
e12-l1,das Lehramt,teaching degree,"Sie studiert Lehramt, um Lehrerin zu werden.",She is studying to become a teacher.
e12-l1,die Angestellte,employee; staff member (female),Sie ist eine Angestellte im Marketing.,She is an employee in marketing.
e12-l1,der Journalist,journalist (male),Der Journalist hat einen interessanten Artikel geschrieben.,The journalist wrote an interesting article.
e12-l1,der Angestellte,employee; staff member (male),Er ist ein Angestellter in einer großen Firma.,He is an employee in a big company.
e12-l1,die Dolmetscherin,interpreter (female),Die Dolmetscherin arbeitet bei den Vereinten Nationen.,The interpreter works at the United Nations.
e12-l1,der Akademiker,academic (male),Nico ist kein Akademiker.,Nico is not an academic.
e12-l1,(auf jemanden/etwas) stolz sein,to be proud (of someone/something),"Unsere Eltern waren sehr stolz, denn sie wollten einen Arzt, Anwalt oder Geschäftsführer in der Familie haben.","Our parents were very proud, because they wanted a doctor, lawyer or manager in the family."
e12-l1,etwas entwickeln,develop something,"Wir entwickeln Apps und im Prinzip alles, was digital ist.",We develop apps and basically everything that is digital.
e12-l1,denn,because; as,"Unsere Eltern waren sehr stolz, denn sie wollten einen Arzt, Anwalt oder Geschäftsführer in der Familie haben.","Our parents were very proud, because they wanted a doctor, lawyer or manager in the family."
e12-l1,die Physik,physics,Physik ist ein schwieriges Fach.,Physics is a difficult subject.
e12-l1,die Note,grade; marks,Das Studium dann mit ’ner sehr guten Note abgeschlossen.,The studies were completed with a very good grade.
e12-l1,der Dolmetscher,interpreter (male),Der Dolmetscher hat den Vortrag übersetzt.,The interpreter translated the lecture.
e12-l1,die Medizin,medicine; medical science,Sie studiert Medizin an der Universität.,She is studying medicine at the university.
e12-l1,der Geschäftsführer,manager; managing director (male),Der Geschäftsführer hat das Team gelobt.,The managing director praised the team.
e12-l1,entstehen,occur; form; spring up,Vertrauen entsteht nicht von heute auf morgen.,Trust doesn't happen overnight.
e12-l1,das Design,design,Das Design der Website ist sehr modern.,The design of the website is very modern.
e12-l1,böse,bad; nasty,Aber ich bin der böse Bruder. Schon vergessen?,But I'm the bad brother. Have you already forgotten?
e12-l1,etwas ausprobieren,to try something out,Ich möchte das neue Restaurant ausprobieren.,I would like to try out the new restaurant.
e12-l1,kaum,hardly,Wir haben ja seit Jahren kaum Kontakt.,We've hardly had any contact for years.
e12-l1,Jura,law,Mein Bruder studiert Jura.,My brother is studying law.
e12-l1,die Umschulung,retraining,Er macht eine Umschulung zum Softwareentwickler.,He is doing retraining to become a software developer.
e12-l1,die Journalistin,journalist (female),Die Journalistin interviewte den Politiker.,The journalist interviewed the politician.
e12-l2,Berufsanfänger,entry-level employee (male),"Als Berufsanfänger ist es schwer, eine Stelle zu finden.",As an entry-level employee it is hard to find a position.
e12-l2,teamfähig,team-minded,Er ist sehr teamfähig und arbeitet gut mit anderen zusammen.,He is very team-minded and works well with others.
e12-l2,etwas koordinieren,to coordinate something,Wir müssen den Termin koordinieren.,We need to coordinate the date.
e12-l2,Schreiner,carpenter (male),Der Schreiner arbeitet mit Holz.,The carpenter works with wood.
e12-l2,Kenntnis,knowledge,Deutschkenntnisse sind sehr wichtig.,Knowledge of German is very important.
e12-l2,Praktikum,internship; practical training,Könnten Praktikums wichtig sein?,Could internships be important?
e12-l2,motiviert,motivated,Sie ist sehr motiviert bei der Arbeit.,She is very motivated at work.
e12-l2,Teilzeit,part-time job,Ich arbeite in Teilzeit.,I work part-time.
e12-l2,belastbar,resilient,Er ist sehr belastbar und kann mit Stress gut umgehen.,He is very resilient and can handle stress well.
e12-l2,Auslandsaufenthalt,time spent abroad,Ein Auslandsaufenthalt kann sehr wertvoll sein.,A stay abroad can be very valuable.
e12-l2,Zeugnis,certificate (of qualification); report,Ich habe mein Zeugnis erhalten.,I received my certificate.
e12-l2,nötig,necessary; critical,"Es ist nötig, dass du pünktlich bist.",It is necessary that you are on time.
e12-l2,Stellenanzeige,job ad; job posting,Ich habe eine Stellenanzeige gelesen.,I read a job advertisement.
e12-l2,Tätigkeit,work; activity,Die Tätigkeit ist sehr abwechslungsreich.,The work is very varied.
e12-l2,Schicht,shift,Ich arbeite in der Nachtschicht.,I work the night shift.
e12-l2,Beratung,counselling; consulting,Ich brauche eine Beratung zu meiner Bewerbung.,I need counseling for my application.
e12-l2,Anhang,attachment,Ich sende Ihnen den Anhang per E-Mail.,I am sending you the attachment via email.
e12-l2,Berufsanfängerin,entry-level employee (female),Die Berufsanfängerin hat viele Fragen.,The entry-level employee has many questions.
e12-l2,Berufserfahrung,professional experience,Habt ihr Berufserfahrung?,Do you have any professional experience?
e12-l2,Stelle,position,Ich suche eine neue Stelle.,I am looking for a new position.
e12-l2,etwas bieten,to offer something; to provide something,Wir bieten Ihnen eine gute Ausbildung.,We offer you a good training.
e12-l2,Führerschein,driving license,Ich brauche einen Führerschein für diesen Job.,I need a driver's license for this job.
e12-l2,Fähigkeit,ability; skill,Sie hat viele Fähigkeiten im Bereich IT.,She has many skills in the field of IT.
e12-l2,sich (um etwas) bewerben,to apply (for something),Ich möchte mich um die Stelle bewerben.,I want to apply for the position.
e12-l2,Lebenslauf,"CV, résumé",Welche Informationen gehören in den Lebenslauf?,What information belongs in the CV?
e12-l2,Zulage,allowance; bonus,Ich bekomme eine Zulage für die Nachtschicht.,I get an allowance for the night shift.
e12-l2,Mathematik,mathematics; math,Ich bin gut in Mathematik.,I am good at mathematics.
e12-l2,jemandem etwas senden,to send someone something,Ich sende dir die Dokumente per E-Mail.,I will send you the documents by email.
e12-l2,Schulbildung,schooling,Die Schulbildung ist in Deutschland obligatorisch.,Schooling is compulsory in Germany.
e12-l2,sich (auf etwas) spezialisieren,to specialize in something,Ich möchte mich auf Softwareentwicklung spezialisieren.,I want to specialize in software development.
